anime_id,name,episodes,rating,members,type_id
10162,'80',11,8.56,194855,2);
18617,'81',1,8.55,25641,1);
32182,'82',12,8.55,193716,2);
877,'83',47,8.55,197256,2);
2251,'84',13,8.54,363215,2);
24687,'85',1,8.54,34011,4);
16498,'86',25,8.54,896229,2);
10030,'87',25,8.53,151561,2);
5941,'88',50,8.53,53108,2);
30346,'89',1,8.53,28864,1);
3784,'90',1,8.53,182224,1);
13125,'91',25,8.53,288376,2);
12029,'92',26,8.53,44223,3);
14397,'93',25,8.52,86074,2);
10087,'94',13,8.51,453630,2);
14719,'95',26,8.51,190197,2);
9756,'96',12,8.51,462974,2);
10165,'97',26,8.52,254436,2);
13601,'98',22,8.5,509109,2);
22789,'99',12,8.5,225927,2);
30230,'100',51,8.5,38531,2);
18115,'101',25,8.5,245026,2);
11981,'102',1,8.5,135735,1);
11917,'103',2,8.5,13405,3);
205,'104',26,8.5,390076,2);
32282,'105',13,8.5,185015,2);
6594,'106',12,8.49,207241,2);
11979,'107',1,8.49,85361,1);
7655,'108',25,8.49,24788,2);
2246,'109',12,8.49,88850,2);
25835,'110',24,8.49,146895,2);
2921,'111',47,8.48,6259,2);
136,'112',62,8.48,166255,2);
30503,'113',13,8.48,299434,2);
12531,'114',12,8.48,146592,2);
523,'115',1,8.48,271484,1);
467,'116',26,8.47,194491,2);
572,'117',1,8.47,143273,1);
19815,'118',12,8.47,602291,2);
2559,'119',33,8.47,15074,2);
392,'120',112,8.47,195017,2);
486,'121',13,8.46,102822,2);
11771,'122',25,8.46,338315,2);
1698,'123',23,8.46,157025,2);
5341,'124',12,8.46,210491,2);
25781,'125',2,8.45,92543,3);
10863,'126',1,8.46,159548,4);
28701,'127',13,8.45,205987,2);
5420,'128',50,8.45,36751,2);
9260,'129',1,8.45,99579,1);
32,'130',1,8.45,215630,1);
4224,'131',25,8.45,633817,2);
2236,'132',1,8.44,289206,1);
2685,'133',3,8.44,57963,3);
31181,'134',12,8.43,107855,2);
45,'135',94,8.43,218928,2);
2418,'136',1,8.43,125503,1);
1365,'137',1,8.42,28462,1);
22297,'138',12,8.42,267484,2);
627,'139',26,8.42,41061,2);
10937,'140',6,8.42,15420,3);
23755,'141',24,8.42,331627,2);
4081,'142',13,8.42,210736,2);
4155,'143',1,8.42,85020,1);
1889,'144',24,8.41,218101,2);
137,'145',8,8.41,53168,3);
139,'146',14,8.41,55787,3);
23317,'147',2,8.41,67261,3);
558,'148',26,8.41,30689,2);
5040,'149',25,8.41,83056,2);
57,'150',26,8.4,148328,2);
33,'151',25,8.4,226430,2);
5,'152',1,8.4,137636,1);
1842,'153',26,8.4,29528,2);
6336,'154',7,8.4,42076,3);
20651,'155',1,8.4,28302,3);
1210,'156',24,8.4,291228,2);
338,'157',40,8.4,32188,2);
13759,'158',24,8.4,380375,2);
6547,'159',13,8.39,717796,2);
5081,'160',15,8.39,482268,2);
32867,'161',12,8.39,83641,2);
264,'162',1,8.39,47840,4);
12859,'163',1,8.39,76051,1);
853,'164',26,8.39,422271,2);
5460,'165',1,8.38,21798,1);
6746,'166',24,8.38,556431,2);
5690,'167',11,8.38,67697,2);
329,'168',26,8.38,105044,2);
34240,'169',1,8.38,71136,5);
513,'170',1,8.38,151061,1);
6945,'171',1,8.37,27213,4);
1142,'172',12,8.37,61493,2);
6811,'173',26,8.37,99128,2);
16664,'174',1,8.37,45547,1);
1604,'175',203,8.37,258103,2);
22145,'176',10,8.37,122895,2);
2966,'177',13,8.37,334932,2);
31964,'178',13,8.36,282002,2);
19363,'179',11,8.36,67032,2);
18195,'180',13,8.36,71820,2);
9890,'181',1,8.36,12282,3);
9130,'182',13,8.36,27532,3);
9863,'183',77,8.36,101027,2);
7674,'184',25,8.35,246899,2);
11843,'185',12,8.35,258914,2);
16782,'186',1,8.35,189741,1);
28675,'187',1,8.35,59815,1);
3226,'188',26,8.35,28002,2);
21557,'189',1,8.35,53590,1);
31715,'190',1,8.34,31856,4);
43,'191',1,8.34,223036,1);
9617,'192',1,8.34,115252,1);
31051,'193',1,8.34,22900,4);
10153,'194',1,8.34,13315,1);
1033,'195',1,8.34,58492,1);
32188,'196',1,8.34,38147,4);
3091,'197',13,8.34,74941,2);
12115,'198',1,8.33,65594,1);
28223,'199',12,8.33,383914,2);
121,'200',51,8.33,600384,2);
3002,'201',26,8.33,98996,2);
138,'202',8,8.33,57029,3);
6675,'203',1,8.33,109392,1);
10800,'204',25,8.32,158561,2);
32005,'205',1,8.32,6229,1);
813,'206',291,8.32,375662,2);
27821,'207',1,8.32,106382,4);
28725,'208',1,8.32,59652,1);
585,'209',1,8.32,94435,1);
16067,'210',26,8.32,224947,2);
30,'211',26,8.32,461946,2);
31490,'212',1,8.32,18642,1);
759,'213',1,8.32,89424,1);
6,'214',26,8.32,283069,2);
6864,'215',2,8.32,36353,3);
9735,'216',1,8.31,14002,4);
11977,'217',1,8.31,88164,1);
11123,'218',12,8.31,69253,2);
23847,'219',13,8.31,222994,2);
33161,'220',1,8.31,35120,3);
962,'221',26,8.3,39596,2);
1519,'222',12,8.3,203233,2);
2167,'223',23,8.3,566690,2);
16706,'224',12,8.3,142612,2);
5681,'225',1,8.3,223359,1);
3901,'226',3,8.29,100412,4);
6467,'227',1,8.29,20602,1);
10271,'228',26,8.29,55566,2);
22507,'229',4,8.29,19702,2);
3701,'230',12,8.29,56927,2);
19123,'231',1,8.29,17247,4);
33255,'232',120,8.29,47092,2);
372,'233',1,8.28,60637,1);
265,'234',1,8.28,40623,3);
25681,'235',12,8.28,91796,2);
4722,'236',25,8.28,134818,2);
24277,'237',24,8.28,50778,2);
239,'238',24,8.27,103828,2);
512,'239',1,8.27,152331,1);
4477,'240',11,8.27,70822,2);
15323,'241',1,8.27,24707,4);
31174,'242',25,8.27,60988,2);
23327,'243',13,8.27,60918,2);
5365,'244',1,8.27,45189,1);
3702,'245',12,8.26,104893,3);
3167,'246',6,8.26,99074,6);
7465,'247',1,8.26,66376,1);
7054,'248',26,8.26,391628,2);
1257,'249',13,8.26,23701,3);
23283,'250',11,8.26,342893,2);
2025,'251',25,8.25,440334,2);
235,'252',\N,8.25,114702,2);
1364,'253',1,8.25,25432,1);
18689,'254',75,8.25,81384,2);
22043,'255',102,8.25,255076,2);
31988,'256',13,8.25,47716,2);
20899,'257',24,8.25,120089,2);
1453,'258',96,8.25,22079,2);
23623,'259',12,8.26,64230,2);
1559,'260',50,8.25,129112,2);
1382,'261',8,8.25,5001,3);
23289,'262',12,8.24,292622,2);
18,'263',24,8.24,41584,2);
4814,'264',12,8.24,87617,2);
16662,'265',1,8.24,75359,1);
12031,'266',38,8.24,54211,2);
8129,'267',11,8.24,108053,2);
14513,'268',25,8.24,317513,2);
2581,'269',25,8.24,120351,2);
30015,'270',13,8.24,202249,2);
6171,'271',13,8.24,40355,3);
1827,'272',26,8.24,106888,2);
25013,'273',24,8.23,216674,2);
1367,'274',1,8.23,23130,1);
27833,'275',12,8.23,115295,2);
26213,'276',1,8.23,36091,4);
1974,'277',51,8.23,17038,2);
8425,'278',24,8.23,232113,2);
12069,'279',1,8.23,20157,4);
185,'280',26,8.23,68128,2);
18679,'281',24,8.23,508118,2);
2034,'282',24,8.23,235003,2);
437,'283',1,8.23,117565,1);
721,'284',38,8.23,73218,2);
12477,'285',1,8.23,89749,1);
4938,'286',2,8.23,40420,3);
2402,'287',79,8.22,15442,2);
6702,'288',175,8.22,584590,2);
1566,'289',1,8.22,55247,4);
31741,'290',13,8.22,73480,2);
440,'291',39,8.22,77464,2);
4107,'292',1,8.22,72933,1);
1506,'293',1,8.21,21789,1);
2759,'294',1,8.21,194561,1);
72,'295',12,8.21,171086,2);
3016,'296',1,8.21,11808,1);
3783,'297',1,8.21,108720,1);
3927,'298',25,8.21,86972,2);
11597,'299',11,8.21,260062,2);
28025,'300',4,8.21,111009,2);
24833,'301',22,8.2,312654,2);
29893,'302',3,8.2,9500,4);
27663,'303',25,8.2,36251,2);
1482,'304',103,8.2,334399,2);
3371,'305',24,8.2,8621,3);
25313,'306',1,8.2,13764,4);
1430,'307',1,8.2,32732,1);
33051,'308',25,8.2,21210,2);
7720,'309',13,8.2,22190,2);
1914,'310',39,8.2,23160,2);
20371,'311',1,8.2,23045,1);
15039,'312',1,8.19,95241,1);
2164,'313',26,8.19,76860,2);
237,'314',50,8.19,239570,2);
2449,'315',1,8.19,21435,4);
10643,'316',1,8.19,14728,4);
17739,'317',2,8.19,5959,3);
135,'318',75,8.19,69000,2);
6045,'319',25,8.19,309339,2);
16001,'320',4,8.19,106989,4);
6211,'321',11,8.19,121349,2);
232,'322',70,8.18,181249,2);
4789,'323',12,8.18,103657,2);
16918,'324',11,8.18,116261,2);
16,'325',24,8.18,130646,2);
1486,'326',102,8.18,27893,2);
24997,'327',1,8.18,38118,1);
32902,'328',3,8.18,43372,3);
8063,'329',2,8.18,35225,3);
25879,'330',13,8.18,80763,2);
889,'331',12,8.17,332562,2);
21419,'332',1,8.17,12151,1);
2952,'333',1,8.17,77111,3);
934,'334',26,8.17,359494,2);
12189,'335',22,8.17,372246,2);
731,'336',1,8.17,31464,5);
1530,'337',24,8.17,163171,2);
9656,'338',12,8.17,171866,2);
20507,'339',12,8.17,515378,2);
31149,'340',1,8.17,13359,1);
4918,'341',2,8.17,40401,3);
14075,'342',24,8.17,259900,2);
4772,'343',1,8.16,11961,4);
781,'344',1,8.16,26799,1);
1363,'345',1,8.16,25461,1);
223,'346',153,8.16,316102,2);
2004,'347',25,8.16,6321,2);
25649,'348',12,8.16,39866,2);
153,'349',45,8.16,66646,2);
5029,'350',1,8.16,9943,1);
302,'351',26,8.16,15557,2);
8740,'352',1,8.16,33862,3);
5682,'353',26,8.16,159105,2);
21647,'354',1,8.16,72708,1);
16049,'355',24,8.16,137105,2);
1065,'356',101,8.16,12833,2);
18179,'357',38,8.16,91138,2);
47,'358',1,8.15,215897,1);
4901,'359',5,8.15,108099,3);
23199,'360',12,8.15,189407,2);
32122,'361',1,8.15,7923,4);
30415,'362',1,8.15,24310,1);
851,'363',10,8.15,7954,3);
10049,'364',24,8.15,75612,2);
1943,'365',1,8.15,163308,1);
4053,'366',7,8.15,21020,3);
846,'367',26,8.15,93095,2);
9926,'368',12,8.15,94820,2);
31173,'369',12,8.14,80862,2);
4059,'370',1,8.14,160423,4);
589,'371',21,8.14,10575,2);
15059,'372',14,8.14,26711,2);
7791,'373',26,8.14,246276,2);
17265,'374',25,8.14,387100,2);
20815,'375',1,8.14,13454,1);
535,'376',26,8.14,39832,2);
2563,'377',1,8.13,20629,3);
9963,'378',1,8.13,17165,1);
32551,'379',1,8.13,20989,1);
2951,'380',1,8.13,29331,4);
2762,'381',24,8.13,5063,2);
14713,'382',13,8.13,189641,2);
14807,'383',1,8.13,41168,1);
81,'384',12,8.13,34177,3);
9204,'385',1,8.13,6645,1);
31098,'386',13,8.13,43916,2);
1023,'387',4,8.13,37679,3);
33253,'388',13,8.12,51382,2);
24921,'389',1,8.12,12353,1);
1471,'390',63,8.12,8199,2);
27831,'391',12,8.12,132506,2);
2924,'392',12,8.12,151106,2);
4672,'393',1,8.12,51789,1);
2448,'394',1,8.12,16614,4);
3907,'395',52,8.12,5308,2);
186,'396',13,8.12,45825,2);
10080,'397',12,8.12,194300,2);
30885,'398',2,8.12,58075,3);
21469,'399',1,8.12,5712,1);
9941,'400',25,8.12,104075,2);
14813,'401',13,8.12,353876,2);
6421,'402',4,8.11,67962,4);
21855,'403',5,8.11,124886,2);
11739,'404',13,8.11,44564,2);
2159,'405',25,8.11,49599,2);
28297,'406',24,8.11,200833,2);
29831,'407',1,8.1,3187,1);
2154,'408',1,8.11,46018,1);
6505,'409',5,8.11,13935,6);
861,'410',24,8.11,150872,2);
1689,'411',3,8.1,324035,1);
34103,'412',1,8.1,29969,4);
3665,'413',28,8.1,7712,3);
9996,'414',39,8.1,10649,2);
7711,'415',1,8.1,97910,1);
77,'416',13,8.1,41685,2);
401,'417',2,8.1,49454,3);
32093,'418',12,8.1,101335,2);
12113,'419',1,8.09,66721,1);
7338,'420',4,8.09,136135,4);
32613,'421',12,8.11,3846,6);
3014,'422',1,8.09,15069,1);
645,'423',1,8.09,13901,4);
11135,'424',4,8.09,26036,3);
5781,'425',13,8.09,72021,3);
13767,'426',2,8.09,23192,3);
5678,'427',24,8.09,88986,2);
6774,'428',11,8.09,41521,2);
1089,'429',1,8.09,19240,1);
25161,'430',1,8.09,30516,4);
995,'431',13,8.09,25170,3);
2752,'432',6,8.09,21186,3);
15,'433',145,8.08,83648,2);
122,'434',52,8.08,59374,2);
29095,'435',10,8.08,111962,2);
1594,'436',26,8.08,79816,2);
3092,'437',12,8.08,117910,2);
10721,'438',24,8.08,156689,2);
16395,'439',1,8.08,11342,3);
3588,'440',51,8.08,580184,2);
4106,'441',1,8.08,68181,1);
387,'442',13,8.07,120731,2);
16916,'443',1,8.07,41760,4);
1088,'444',36,8.07,44157,2);
10620,'445',26,8.07,657190,2);
2143,'446',3,8.07,6554,3);
6582,'447',26,8.07,4584,2);
2158,'448',24,8.07,36941,2);
22319,'449',12,8.07,618056,2);
11113,'450',4,8.07,36351,4);
6586,'451',50,8.07,36921,2);
66,'452',26,8.06,170901,2);
8142,'453',1,8.06,63263,1);
6438,'454',1,8.06,9649,3);
33032,'455',1,8.06,9807,3);
227,'456',6,8.06,305165,3);
73,'457',13,8.06,155340,2);
4898,'458',24,8.06,424919,2);
19111,'459',13,8.06,91864,2);
7222,'460',1,8.06,17826,1);
22097,'461',5,8.06,52351,3);
15689,'462',4,8.06,173264,2);
957,'463',39,8.06,50951,2);
24,'464',26,8.06,178553,2);
33286,'465',8,8.05,28220,3);
849,'466',14,8.06,428569,2);
2623,'467',1,8.05,8505,1);
268,'468',6,8.05,113040,3);
29093,'469',1,8.05,70039,4);
427,'470',51,8.05,42253,2);
4280,'471',1,8.05,103600,1);
18429,'472',1,8.05,10021,1);
17549,'473',12,8.05,133475,2);
26123,'474',6,8.05,26361,3);
28,'475',69,8.05,50876,2);
9513,'476',60,8.04,217752,2);
14353,'477',1,8.04,95690,1);
8408,'478',2,8.04,103105,4);
13331,'479',12,8.04,81951,2);
4985,'480',1,8.04,20433,1);
29803,'481',13,8.04,244268,2);
22,'482',178,8.04,87643,2);
2618,'483',26,8.04,5306,2);
793,'484',1,8.04,41547,1);
30279,'485',12,8.04,44335,2);
28755,'486',1,8.03,74690,1);
31405,'2608',12,7.21,102560,2);
9159,'2609',3,7.21,8690,3);
2176,'2610',1,7.21,3466,1);
20649,'2611',2,7.21,9866,3);
21853,'2612',1,7.21,4249,4);
1588,'2613',24,7.21,16922,2);
4926,'2614',1,7.21,1060,1);
11761,'2615',12,7.21,110042,2);
21603,'2616',12,7.21,198876,2);
1135,'2617',1,7.21,7843,3);
2200,'2618',23,7.21,1570,2);
11021,'2619',24,7.21,55531,2);
1546,'2620',26,7.21,44009,2);
1619,'2621',1,7.21,13563,3);
1944,'2622',6,7.21,7935,3);
12221,'2623',1,7.21,2530,1);
609,'2624',2,7.21,12239,3);
6203,'2625',13,7.21,34297,2);
2117,'2626',13,7.21,4630,3);
1101,'2627',1,7.21,10523,1);
9733,'2628',1,7.21,2066,5);
1539,'2629',1,7.21,1513,4);
19383,'2630',13,7.21,33275,2);
6229,'3910',32,6.85,827,3);
557,'3911',4,6.85,4734,3);
3659,'3912',1,6.85,272,1);
4136,'3918',22,6.85,12195,6);
1771,'3919',12,6.85,1037,2);
11635,'3920',1,6.85,3940,1);
1264,'2631',39,7.21,11015,2);
5458,'2632',1,7.21,9429,4);
3505,'2633',48,7.21,689,2);
367,'2634',3,7.2,1659,3);
1079,'2635',4,7.2,14930,3);
19877,'2636',21,7.21,570,2);
9907,'2637',1,7.2,10426,5);
6747,'2638',12,7.2,121005,2);
2669,'2639',1,7.2,1059,1);
2678,'2640',1,7.2,896,1);
15159,'2641',1,7.2,873,4);
9367,'2642',12,7.2,159273,2);
10115,'2643',1,7.19,601,1);
30290,'2644',1,7.2,3718,1);
15811,'2645',6,7.2,15228,4);
729,'2646',48,7.2,1527,2);
4549,'2647',13,7.2,6659,2);
1336,'2648',6,7.2,4876,3);
4851,'2649',1,7.2,2482,4);
16890,'2650',12,7.2,59819,2);
23227,'2651',1,7.2,21717,3);
24171,'2652',3,7.2,3636,3);
3752,'2653',1,7.2,925,1);
4662,'2654',13,7.2,12975,2);
2490,'2655',1,7.2,20054,1);
1564,'2656',192,7.2,67386,2);
592,'2657',26,7.2,1065,2);
31919,'2658',1,7.2,502,1);
32094,'2659',12,7.2,30153,2);
20047,'2660',12,7.2,108011,2);
478,'2661',26,7.2,46647,2);
2452,'2662',1,7.2,3586,1);
8986,'2663',22,7.2,18528,3);
23587,'2664',13,7.2,33042,2);
20035,'2665',1,7.2,11241,4);
1555,'2666',25,7.2,24691,2);
2331,'2667',26,7.2,2297,2);
3446,'2668',1,7.19,20172,1);
568,'2669',26,7.19,20079,2);
831,'2670',24,7.19,14955,2);
2354,'2671',1,7.19,7171,3);
1796,'2672',1,7.19,3227,1);
393,'2673',1,7.19,37379,1);
6959,'2674',1,7.19,3284,3);
28539,'2675',1,7.18,7179,1);
3447,'2676',1,7.19,8937,4);
23619,'2677',1,7.19,14585,3);
2998,'2678',1,7.19,1158,3);
6909,'2679',1,7.19,1163,4);
1864,'2680',12,7.19,5827,2);
1261,'2681',54,7.19,7112,2);
149,'2682',12,7.19,85554,2);
33299,'2683',13,7.19,12095,2);
2931,'2684',24,7.19,8362,2);
30016,'2685',13,7.19,57325,2);
350,'2686',51,7.19,19222,2);
6324,'2687',12,7.19,119572,2);
5279,'2688',1,7.19,32430,4);
12709,'2689',3,7.19,3692,4);
7144,'2690',1,7.19,2005,1);
3614,'2691',13,7.19,11002,2);
754,'2692',36,7.19,2228,2);
26165,'2693',12,7.19,48549,2);
3354,'2694',2,7.19,22182,4);
493,'2695',1,7.18,9186,1);
7817,'2696',12,7.18,192719,2);
33080,'2697',5,7.18,29445,6);
5032,'2698',13,7.18,4361,2);
2907,'2699',66,7.18,3188,2);
2651,'2700',1,7.18,672,1);
5197,'2701',39,7.18,558,2);
32801,'2702',1,7.18,23370,3);
26057,'2703',1,7.18,14351,3);
1829,'2704',1,7.18,59243,1);
6867,'2705',9,7.18,21190,6);
23083,'2706',1,7.18,1332,1);
247,'2707',26,7.18,14550,2);
8206,'2708',51,7.18,6118,2);
3027,'2709',1,7.18,3713,3);
606,'2710',13,7.18,7893,2);
2077,'2711',1,7.18,1641,1);
2797,'2712',3,7.18,2398,3);
6379,'2713',1,7.18,5553,3);
7066,'2714',2,7.18,5760,4);
604,'2715',26,7.18,5991,2);
2044,'2716',52,7.18,5112,2);
5030,'2717',12,7.18,104663,2);
1110,'2718',39,7.18,19311,2);
2279,'2719',1,7.18,1804,1);
3059,'2720',43,7.18,1941,2);
1199,'2721',\N,7.18,2255,2);
32603,'2722',12,7.17,37570,2);
461,'2723',1,7.18,36558,1);
1569,'2724',12,7.18,42190,2);
11009,'2725',1,7.18,5158,1);
34514,'2726',18,7.21,295,6);
2369,'2727',24,7.18,39806,2);
20973,'2728',12,7.18,67877,2);
938,'2729',4,7.18,2339,3);
3138,'2730',1,7.18,2641,4);
6098,'2731',12,7.18,28652,2);
10351,'2732',1,7.18,3626,4);
448,'2733',2,7.18,29039,3);
7654,'2734',1,7.18,4257,4);
2470,'2735',1,7.18,2579,1);
21439,'2736',13,7.18,27997,2);
3486,'2737',47,7.18,1021,2);
32717,'2738',\N,7.17,4485,2);
31080,'2739',12,7.17,32040,2);
284,'2740',12,7.17,7563,2);
286,'2741',25,7.17,5913,2);
23237,'2742',7,7.17,20337,4);
6217,'2743',1,7.17,1617,1);
992,'2744',13,7.17,10636,2);
19067,'2745',64,7.17,3417,2);
2815,'2746',52,7.17,869,2);
2132,'2747',1,7.17,13115,1);
5978,'2748',1,7.17,22155,4);
3110,'2749',52,7.17,1414,2);
17741,'2750',12,7.17,63418,2);
1436,'2751',1,7.17,3493,4);
252,'2752',26,7.17,25995,2);
10690,'2753',1,7.17,3433,1);
4997,'2754',1,7.17,4236,4);
33003,'2755',12,7.17,46024,2);
442,'2756',1,7.17,120571,1);
31404,'2757',12,7.17,137102,2);
10302,'2758',2,7.17,5913,4);
11569,'2759',1,7.17,1057,3);
33713,'2760',2,7.16,1509,4);
17391,'2761',4,7.17,10194,4);
27441,'2762',12,7.17,32061,2);
32038,'2763',12,7.17,8964,2);
2586,'2764',5,7.17,1761,3);
1602,'2765',13,7.17,14925,2);
2011,'2766',20,7.17,2856,2);
6312,'2767',1,7.17,1536,4);
3137,'2768',109,7.17,1650,2);
1922,'2769',1,7.17,2897,1);
30419,'2770',1,7.18,2555,1);
548,'2771',1,7.17,23422,1);
31588,'2772',25,7.16,35461,2);
7152,'2773',50,7.16,3605,2);
1051,'2774',4,7.16,29487,3);
1554,'2775',12,7.16,16909,2);
751,'2776',52,7.16,1876,2);
34077,'2777',\N,7.16,1363,2);
3432,'2778',51,7.16,615,2);
30383,'2779',13,7.16,55977,2);
2913,'2780',40,7.16,889,2);
3033,'2781',1,7.16,14037,1);
1803,'2782',2,7.16,2038,3);
16385,'2783',12,7.16,34576,2);
1045,'2784',12,7.16,13581,2);
5267,'2785',26,7.16,790,2);
4476,'2786',1,7.16,2557,3);
3327,'2787',26,7.16,1300,2);
9723,'2788',1,7.16,8025,4);
1592,'2789',11,7.16,13681,2);
7728,'2790',1,7.16,15097,4);
20673,'2791',1,7.16,6970,1);
1025,'2792',13,7.16,16111,2);
2130,'2793',25,7.16,44825,2);
33511,'2794',1,7.14,13657,1);
1434,'2795',1,7.16,3057,4);
8097,'2796',1,7.16,2685,4);
8666,'2797',3,7.16,6941,3);
620,'2798',13,7.16,14073,2);
7308,'2799',1,7.16,917,1);
2298,'2800',1,7.16,9594,4);
1688,'2801',12,7.16,16604,2);
1209,'2802',1,7.16,4545,1);
2489,'2803',52,7.16,3633,2);
10108,'2804',16,7.16,14917,4);
24211,'2805',13,7.15,47157,2);
325,'2806',25,7.16,49508,2);
1118,'2807',1,7.16,73253,1);
23285,'2808',1,7.16,3675,6);
907,'2809',12,7.16,38778,2);
23135,'2810',\N,7.17,7680,2);
28617,'2811',12,7.16,93000,2);
758,'2812',1,7.16,10524,1);
151,'2813',3,7.16,10378,3);
917,'2814',1,7.16,6547,3);
22663,'2815',12,7.16,97401,2);
6974,'2816',13,7.16,65021,2);
4021,'2817',12,7.16,21937,2);
5220,'2818',24,7.16,38495,2);
29027,'2819',1,7.16,33466,3);
10775,'2820',1,7.16,3276,4);
2170,'2821',2,7.16,7691,3);
876,'2822',29,7.16,14002,2);
760,'2823',1,7.16,15718,1);
31370,'2824',12,7.16,6342,2);
343,'2825',25,7.16,44874,2);
2300,'2826',1,7.16,2432,3);
20449,'2827',1,7.16,39779,3);
27655,'2828',12,7.15,149364,2);
9346,'2829',50,7.15,1337,2);
17677,'2830',1,7.15,5078,1);
16157,'2831',12,7.15,71901,2);
3745,'2832',1,7.15,2073,1);
291,'2833',26,7.15,23364,2);
29437,'2834',1,7.15,1202,4);
1726,'2835',12,7.15,166398,2);
2652,'2836',1,7.15,645,1);
2950,'2837',1,7.15,12051,1);
2819,'2838',43,7.15,2104,2);
1046,'2839',12,7.15,8004,2);
16982,'2840',12,7.15,24044,2);
2799,'2841',47,7.15,2587,2);
1020,'2842',3,7.15,6006,3);
2891,'2843',1,7.15,11116,3);
33242,'2844',1,7.15,6604,4);
29785,'2845',13,7.15,88500,2);
11299,'2846',1,7.15,683,4);
3483,'2847',1,7.15,1458,3);
32030,'2848',1,7.15,699,5);
912,'2849',55,7.15,2424,2);
32013,'2850',12,7.15,45778,2);
31378,'2851',1,7.15,17815,3);
1492,'2852',26,7.15,6903,2);
2000,'2853',1,7.15,9358,3);
11441,'2854',2,7.15,13795,3);
22877,'2855',12,7.15,124448,2);
8057,'2856',12,7.15,13089,2);
2758,'2857',52,7.15,432,2);
29163,'2858',13,7.15,25707,2);
8250,'2859',1,7.15,1590,3);
3667,'2860',12,7.15,96159,2);
2577,'2861',49,7.15,2322,2);
3737,'2862',13,7.15,4675,2);
28841,'2863',1,7.15,3560,1);
1207,'2864',1,7.15,1835,1);
48,'2865',26,7.14,110304,2);
7113,'2866',1,7.14,3963,3);
230,'2867',27,7.14,22433,2);
929,'2868',49,7.14,3694,2);
32802,'2869',24,7.14,2121,2);
23991,'2870',1,7.14,2336,1);
8394,'2871',26,7.14,3496,2);
13839,'2872',1,7.14,4947,3);
2355,'2873',1,7.14,5858,3);
900,'2874',1,7.14,52690,1);
5152,'2875',1,7.14,25251,4);
30544,'2876',12,7.14,168657,2);
383,'2877',24,7.14,17601,2);
4983,'2878',1,7.14,9255,1);
475,'2879',1,7.14,3701,1);
21653,'2880',1,7.14,28626,3);
3638,'2881',52,7.14,1034,2);
3616,'2882',12,7.14,27761,2);
